Gene name	Synonym	Accession number	Location (kb)	Functional category	Description
Rv1192		Rv1192	1334.93	10	HYPOTHETICAL PROTEIN
Rv1194c		Rv1194c	1338.51	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1203c		Rv1203c	1346.91	10	HYPOTHETICAL PROTEIN
Rv1204c		Rv1204c	1348.62	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1205		Rv1205	1348.72	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1208		Rv1208	1352.14	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1209		Rv1209	1353.16	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1211		Rv1211	1354.24	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1215c		Rv1215c	1359.44	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1222		Rv1222	1365.34	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1225c		Rv1225c	1368.72	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1232c		Rv1232c	1376.17	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1251c		Rv1251c	1399.24	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1259		Rv1259	1407.34	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1261c		Rv1261c	1409.93	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1262c		Rv1262c	1410.37	10	HYPOTHETICAL HIT-LIKE PROTEIN
Rv1265		Rv1265	1413.26	10	HYPOTHETICAL PROTEIN
Rv1268c		Rv1268c	1418.36	10	HYPOTHETICAL PROTEIN
Rv1276c		Rv1276c	1425.91	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1277		Rv1277	1426.16	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1278		Rv1278	1427.41	10	HYPOTHETICAL PROTEIN
Rv1287		Rv1287	1440.81	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1288		Rv1288	1441.35	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1289		Rv1289	1442.77	10	HYPOTHETICAL PROTEIN
Rv1290A		Rv1290A	1445.06	10	HYPOTHETICAL PROTEIN
Rv1290c		Rv1290c	1445.05	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1301		Rv1301	1457.56	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1314c		Rv1314c	1470.25	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1321		Rv1321	1484.28	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1322		Rv1322	1484.98	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1322A		Rv1322A	1485.77	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1330c		Rv1330c	1500.56	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1331		Rv1331	1500.66	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1334		Rv1334	1502.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1335		Rv1335	1503.10	10	9.5 KDA CULTURE FILTRATE ANTIGEN CFP10A
Rv1339		Rv1339	1505.92	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1341		Rv1341	1507.57	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1347c		Rv1347c	1512.60	10	GCN5-RELATED N-ACETYLTRANSFERASE
Rv1351		Rv1351	1518.23	10	HYPOTHETICAL PROTEIN
Rv1352		Rv1352	1518.76	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1354c		Rv1354c	1521.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1356c		Rv1356c	1524.82	10	HYPOTHETICAL PROTEIN
Rv1357c		Rv1357c	1526.22	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1364c		Rv1364c	1537.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1366		Rv1366	1538.39	10	HYPOTHETICAL PROTEIN
Rv1367c		Rv1367c	1540.65	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1372		Rv1372	1544.82	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1374c		Rv1374c	1547.53	10	HYPOTHETICAL PROTEIN
Rv1375		Rv1375	1547.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1376		Rv1376	1549.15	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1378c		Rv1378c	1552.66	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1413		Rv1413	1589.39	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1414		Rv1414	1589.89	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1419		Rv1419	1593.51	10	HYPOTHETICAL PROTEIN
Rv1421		Rv1421	1595.98	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1422		Rv1422	1596.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1425		Rv1425	1599.66	10	CONSERVED HYPOTHETICAL PROTEIN. POSSIBLE TRIACYLGLYCEROL SYNTHASE (DIACYLGLYCEROL ACYLTRANSFERASE).
Rv1428c		Rv1428c	1604.76	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1429		Rv1429	1604.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1434		Rv1434	1612.26	10	HYPOTHETICAL PROTEIN
Rv1439c		Rv1439c	1617.39	10	HYPOTHETICAL PROTEIN
Rv1443c		Rv1443c	1622.69	10	HYPOTHETICAL PROTEIN
Rv1444c		Rv1444c	1623.70	10	HYPOTHETICAL PROTEIN
Rv1455		Rv1455	1640.68	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1461		Rv1461	1646.99	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1462		Rv1462	1649.53	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1466		Rv1466	1653.23	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1480		Rv1480	1670.41	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1482c		Rv1482c	1673.30	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1486c		Rv1486c	1676.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1489		Rv1489	1678.55	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1489A		Rv1489A	1678.94	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1498A		Rv1498A	1690.35	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1499		Rv1499	1690.41	10	HYPOTHETICAL PROTEIN
Rv1501		Rv1501	1691.89	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1503c		Rv1503c	1694.54	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1504c		Rv1504c	1695.14	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1505c		Rv1505c	1695.95	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1507c		Rv1507c	1697.42	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1508A		Rv1508A	1699.87	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1513		Rv1513	1705.06	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1514c		Rv1514c	1706.59	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1515c		Rv1515c	1707.53	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1518		Rv1518	1709.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1519		Rv1519	1710.73	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1531		Rv1531	1732.47	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1532c		Rv1532c	1733.55	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1533		Rv1533	1733.61	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1535		Rv1535	1735.98	10	HYPOTHETICAL PROTEIN
Rv1540		Rv1540	1742.84	10	CONSERVED HYPOTHETICAL PROTEIN MEMBER OF yabO/yceC/yfiI FAMILY
Rv1545		Rv1545	1746.92	10	HYPOTHETICAL PROTEIN
Rv1546		Rv1546	1747.19	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1558		Rv1558	1762.95	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1571		Rv1571	1778.54	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1590		Rv1590	1791.33	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1592c		Rv1592c	1793.74	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1593c		Rv1593c	1794.71	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1597		Rv1597	1798.29	10	HYPOTHETICAL PROTEIN
Rv1598c		Rv1598c	1799.48	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1628c		Rv1628c	1830.56	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1632c		Rv1632c	1836.83	10	HYPOTHETICAL PROTEIN
Rv1637c		Rv1637c	1843.69	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1638A		Rv1638A	1846.97	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1645c		Rv1645c	1855.45	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1647		Rv1647	1856.77	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1669		Rv1669	1895.72	10	HYPOTHETICAL PROTEIN
Rv1670		Rv1670	1896.12	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1673c		Rv1673c	1899.23	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1676		Rv1676	1901.05	10	HYPOTHETICAL PROTEIN
Rv1680		Rv1680	1904.43	10	HYPOTHETICAL PROTEIN
Rv1682		Rv1682	1906.40	10	Probable coiled-coil structural protein
Rv1684		Rv1684	1910.59	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1685c		Rv1685c	1911.40	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1691		Rv1691	1915.95	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1693		Rv1693	1917.76	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1697		Rv1697	1921.54	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1698		Rv1698	1922.74	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1706A		Rv1706A	1934.65	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1709		Rv1709	1937.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1710		Rv1710	1938.15	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1711		Rv1711	1938.84	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1716		Rv1716	1943.58	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1717		Rv1717	1944.41	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1718		Rv1718	1944.81	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1724c		Rv1724c	1951.05	10	HYPOTHETICAL PROTEIN
Rv1725c		Rv1725c	1951.75	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1727		Rv1727	1953.27	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1728c		Rv1728c	1954.63	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1729c		Rv1729c	1955.57	10	Conserved hypothetical protein. Possible S-adenosylmethionine-dependent methyltransferase.
Rv1732c		Rv1732c	1959.79	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1734c		Rv1734c	1961.02	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1738		Rv1738	1965.66	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1748		Rv1748	1976.60	10	HYPOTHETICAL PROTEIN
Rv1752		Rv1752	1981.13	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1754c		Rv1754c	1986.67	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1760		Rv1760	1993.15	10	CONSERVED HYPOTHETICAL PROTEIN. POSSIBLE TRIACYLGLYCEROL SYNTHASE (DIACYLGLYCEROL ACYLTRANSFERASE).
Rv1762c		Rv1762c	1995.84	10	HYPOTHETICAL PROTEIN
Rv1765c		Rv1765c	1998.52	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1766		Rv1766	1999.74	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1767		Rv1767	2000.07	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1769		Rv1769	2002.63	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1770		Rv1770	2003.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1772		Rv1772	2006.64	10	HYPOTHETICAL PROTEIN
Rv1775		Rv1775	2009.17	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1778c		Rv1778c	2012.53	10	HYPOTHETICAL PROTEIN
Rv1780		Rv1780	2014.70	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1784		Rv1784	2020.63	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1794		Rv1794	2031.07	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1798		Rv1798	2036.70	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1804c		Rv1804c	2047.35	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1805c		Rv1805c	2048.03	10	HYPOTHETICAL PROTEIN
Rv1810		Rv1810	2052.93	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1813c		Rv1813c	2056.11	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1815		Rv1815	2057.53	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1823		Rv1823	2069.70	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1825		Rv1825	2071.04	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1828		Rv1828	2073.08	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1829		Rv1829	2073.94	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1830		Rv1830	2074.84	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1831		Rv1831	2075.57	10	HYPOTHETICAL PROTEIN
Rv1835c		Rv1835c	2082.59	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1836c		Rv1836c	2084.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1847		Rv1847	2096.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1864c		Rv1864c	2112.11	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1868		Rv1868	2117.35	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1870c		Rv1870c	2121.43	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1871c		Rv1871c	2121.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1873		Rv1873	2123.17	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1874		Rv1874	2123.68	10	HYPOTHETICAL PROTEIN
Rv1875		Rv1875	2124.38	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1879		Rv1879	2129.38	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1883c		Rv1883c	2133.69	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1885c		Rv1885c	2134.87	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1887		Rv1887	2136.26	10	HYPOTHETICAL PROTEIN
Rv1888A		Rv1888A	2138.62	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1889c		Rv1889c	2139.02	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1890c		Rv1890c	2139.69	10	HYPOTHETICAL PROTEIN
Rv1891		Rv1891	2139.74	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1893		Rv1893	2140.49	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1894c		Rv1894c	2141.87	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1896c		Rv1896c	2144.45	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1897c		Rv1897c	2144.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1898		Rv1898	2144.94	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1904		Rv1904	2150.95	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1906c		Rv1906c	2152.90	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1907c		Rv1907c	2153.88	10	HYPOTHETICAL PROTEIN
Rv1913		Rv1913	2159.19	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1914c		Rv1914c	2160.33	10	HYPOTHETICAL PROTEIN
Rv1919c		Rv1919c	2171.52	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1924c		Rv1924c	2176.93	10	HYPOTHETICAL PROTEIN
Rv1927		Rv1927	2179.67	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1929c		Rv1929c	2181.91	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1930c		Rv1930c	2182.44	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1944c		Rv1944c	2195.93	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1947		Rv1947	2198.02	10	HYPOTHETICAL PROTEIN
Rv1948c		Rv1948c	2199.06	10	HYPOTHETICAL PROTEIN
Rv1949c		Rv1949c	2200.03	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1950c		Rv1950c	2200.19	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1951c		Rv1951c	2200.49	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1954c		Rv1954c	2201.74	10	HYPOTHETICAL PROTEIN
Rv1957		Rv1957	2202.58	10	HYPOTHETICAL PROTEIN
Rv1958c		Rv1958c	2203.63	10	HYPOTHETICAL PROTEIN
Rv1961		Rv1961	2204.21	10	HYPOTHETICAL PROTEIN
Rv1975		Rv1975	2218.05	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1976c		Rv1976c	2219.25	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1977		Rv1977	2219.75	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1978		Rv1978	2220.91	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1989c		Rv1989c	2233.30	10	HYPOTHETICAL PROTEIN
Rv1991c		Rv1991c	2234.65	10	Conserved protein. Toxin, part of toxin-antitoxin (TA) operon with Rv1991A.
Rv1993c		Rv1993c	2237.57	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1995		Rv1995	2238.14	10	HYPOTHETICAL PROTEIN
Rv1996		Rv1996	2239.00	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1998c		Rv1998c	2243.72	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2000		Rv2000	2245.21	10	HYPOTHETICAL PROTEIN
Rv2001		Rv2001	2246.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2003c		Rv2003c	2249.42	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2004c		Rv2004c	2250.97	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2005c		Rv2005c	2251.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2008c		Rv2008c	2257.94	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2011c		Rv2011c	2259.28	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2012		Rv2012	2259.33	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2015c		Rv2015c	2263.07	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2016		Rv2016	2263.43	10	HYPOTHETICAL PROTEIN
Rv2018		Rv2018	2265.28	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2019		Rv2019	2265.99	10	HYPOTHETICAL PROTEIN
Rv2020c		Rv2020c	2266.72	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2022c		Rv2022c	2267.72	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2023A		Rv2023A	2268.73	10	HYPOTHETICAL PROTEIN
Rv2023c		Rv2023c	2268.11	10	HYPOTHETICAL PROTEIN
Rv2024c		Rv2024c	2270.24	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2026c		Rv2026c	2272.75	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2028c		Rv2028c	2275.41	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2030c		Rv2030c	2278.49	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2033c		Rv2033c	2281.08	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2035		Rv2035	2281.61	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2042c		Rv2042c	2288.68	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2044c		Rv2044c	2289.60	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2047c		Rv2047c	2294.53	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2049c		Rv2049c	2307.52	10	HYPOTHETICAL PROTEIN
Rv2050		Rv2050	2307.82	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2052c		Rv2052c	2312.52	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2054		Rv2054	2313.12	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2059		Rv2059	2315.17	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2061c		Rv2061c	2317.08	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2067c		Rv2067c	2325.87	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2074		Rv2074	2330.99	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2076c		Rv2076c	2333.29	10	HYPOTHETICAL PROTEIN
Rv2077A		Rv2077A	2334.59	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2078		Rv2078	2335.06	10	HYPOTHETICAL PROTEIN
Rv2079		Rv2079	2335.35	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2082		Rv2082	2338.71	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2083		Rv2083	2340.87	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2095c		Rv2095c	2354.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2096c		Rv2096c	2355.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2097c		Rv2097c	2356.68	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2102		Rv2102	2363.39	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2111c		Rv2111c	2370.79	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2112c		Rv2112c	2372.57	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2114		Rv2114	2373.83	10	HYPOTHETICAL PROTEIN
Rv2117		Rv2117	2377.15	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2119		Rv2119	2378.39	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2125		Rv2125	2386.29	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2132		Rv2132	2393.41	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2133c		Rv2133c	2394.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2134c		Rv2134c	2395.24	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2135c		Rv2135c	2396.01	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2137c		Rv2137c	2397.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2143		Rv2143	2402.98	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2147c		Rv2147c	2406.84	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2148c		Rv2148c	2407.62	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2159c		Rv2159c	2421.67	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2165c		Rv2165c	2429.43	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2166c		Rv2166c	2429.86	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2170		Rv2170	2432.24	10	GCN5-RELATED N-ACETYLTRANSFERASE
Rv2172c		Rv2172c	2434.54	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2179c		Rv2179c	2442.32	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2182c		Rv2182c	2445.33	10	1-acylglycerol-3-phosphate O-acyltransferase
Rv2183c		Rv2183c	2445.81	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2184c		Rv2184c	2446.95	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2186c		Rv2186c	2447.99	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2188c		Rv2188c	2451.15	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2189c		Rv2189c	2452.02	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2204c		Rv2204c	2469.29	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2205c		Rv2205c	2470.46	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2212		Rv2212	2477.19	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2216		Rv2216	2483.63	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2226		Rv2226	2498.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2227		Rv2227	2500.93	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2228c		Rv2228c	2502.74	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2229c		Rv2229c	2503.47	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2230c		Rv2230c	2504.61	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2232		Rv2232	2506.28	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2237		Rv2237	2509.49	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2239c		Rv2239c	2511.65	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2240c		Rv2240c	2512.49	10	HYPOTHETICAL PROTEIN
Rv2242		Rv2242	2515.30	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2248		Rv2248	2522.36	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2252		Rv2252	2526.99	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2255c		Rv2255c	2529.17	10	HYPOTHETICAL PROTEIN
Rv2256c		Rv2256c	2529.87	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2257c		Rv2257c	2530.82	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2260		Rv2260	2533.33	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2264c		Rv2264c	2538.35	10	conserved hypothetical proline rich protein
Rv2267c		Rv2267c	2542.81	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2269c		Rv2269c	2544.62	10	HYPOTHETICAL PROTEIN
Rv2271		Rv2271	2545.33	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2275		Rv2275	2546.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2283		Rv2283	2555.94	10	HYPOTHETICAL PROTEIN
Rv2285		Rv2285	2557.47	10	CONSERVED HYPOTHETICAL PROTEIN. POSSIBLE TRIACYLGLYCEROL SYNTHASE (DIACYLGLYCEROL ACYLTRANSFERASE).
Rv2286c		Rv2286c	2559.57	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2288		Rv2288	2561.33	10	HYPOTHETICAL PROTEIN
Rv2293c		Rv2293c	2565.03	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2295		Rv2295	2566.77	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2297		Rv2297	2568.44	10	HYPOTHETICAL PROTEIN
Rv2298		Rv2298	2569.08	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2300c		Rv2300c	2573.01	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2302		Rv2302	2573.81	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2304c		Rv2304c	2575.23	10	HYPOTHETICAL PROTEIN
Rv2305		Rv2305	2575.81	10	HYPOTHETICAL PROTEIN
Rv2307A		Rv2307A	2579.42	10	HYPOTHETICAL GLYCINE RICH PROTEIN
Rv2307B		Rv2307B	2579.94	10	HYPOTHETICAL GLYCINE RICH PROTEIN
Rv2307c		Rv2307c	2578.70	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2307D		Rv2307D	2580.21	10	HYPOTHETICAL PROTEIN
Rv2308		Rv2308	2580.42	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2309A		Rv2309A	2583.04	10	HYPOTHETICAL PROTEIN
Rv2311		Rv2311	2583.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2312		Rv2312	2584.49	10	HYPOTHETICAL PROTEIN
Rv2313c		Rv2313c	2585.91	10	HYPOTHETICAL PROTEIN
